,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Taoudenni,0,ML,1547415184,29,22.68,-3.98,50.59,11.01
86,Avarua,40,CK,1547413200,74,-21.21,-159.78,84.2,8.05
87,Puerto Madryn,0,AR,1547415187,57,-42.77,-65.04,71.47,15.26
88,Constitucion,5,MX,1547412180,11,23.99,-104.67,71.6,17.22
89,Kargopol,76,RU,1547415190,92,61.51,38.95,21.34,10.45
90,Vila Velha,75,BR,1547413200,83,-3.71,-38.6,82.4,5.82
91,Esperance,20,TT,1547413200,61,10.24,-61.45,82.4,11.41
92,Jimenez,20,PA,1547413200,31,8.54,-82.37,91.4,14.99
93,Okha,12,RU,1547415194,81,53.59,142.95,1.63,9.78
94,Yaan,12,NG,1547415196,66,7.38,8.57,74.4,3.06
95,San Patricio,56,PY,1547415197,83,-26.98,-56.83,85.51,2.51
96,Puerto Colombia,20,CO,1547413200,66,10.99,-74.96,84.2,13.87
97,Yumen,76,CN,1547415199,70,40.29,97.04,5.64,7.31
98,Xiaoshi,88,CN,1547415201,84,30.59,116.63,34.39,4.07
99,Cabo San Lucas,5,MX,1547412180,53,22.89,-109.91,78.8,3.36
100,Bredasdorp,32,ZA,1547413200,72,-34.53,20.04,68.0,3.36
101,Melfi,90,IT,1547412900,88,41.0,15.66,33.8,18.34
102,Misratah,68,LY,1547414957,100,32.38,15.09,54.15,22.75
103,Victoria,75,BN,1547413200,88,5.28,115.24,78.8,3.36
104,Carmen del Parana,75,PY,1547413200,74,-27.23,-56.22,91.4,3.36
105,Grindavik,75,IS,1547413200,74,63.84,-22.43,28.4,8.05
106,Ust-Tsilma,76,RU,1547415211,77,65.44,52.15,17.25,7.65
107,Ornskoldsvik,0,SE,1547412600,79,63.29,18.72,26.6,12.75
108,Hofn,80,IS,1547415214,100,64.25,-15.21,26.79,7.87
109,Laguna,5,MX,1547412000,24,27.52,-110.01,78.8,5.82
110,Zhirnovsk,76,RU,1547415216,89,50.98,44.78,18.01,6.42
111,Qaqortoq,8,GL,1547412600,62,60.72,-46.03,24.8,8.05
112,Alofi,0,NU,1547413200,70,-19.06,-169.92,84.2,10.29
113,Lagunas,24,PE,1547415220,40,-5.23,-75.68,93.97,3.4
114,Airai,48,TL,1547415221,89,-8.93,125.41,69.54,1.5
115,Dikson,80,RU,1547415222,99,73.51,80.55,1.72,30.24
116,Berlevag,40,NO,1547412600,92,70.86,29.09,28.4,13.87
117,High Level,90,CA,1547413200,84,58.52,-117.13,1.4,5.82
118,Sao Filipe,20,CV,1547415227,96,14.9,-24.5,72.6,12.68
119,Necochea,88,AR,1547415114,93,-38.55,-58.74,67.69,13.58
120,Ahipara,88,NZ,1547415229,88,-35.17,173.16,68.55,18.84
121,Katsuura,20,JP,1547413200,100,33.93,134.5,35.6,9.17
122,Sobolevo,92,RU,1547415232,95,54.43,31.9,29.67,14.92
123,Alta Floresta,20,BR,1547409600,52,-9.87,-56.08,89.6,5.82
124,Port Hardy,75,CA,1547413200,81,50.7,-127.42,50.0,6.93
125,Batticaloa,92,LK,1547415238,100,7.71,81.69,75.88,7.54
126,Thompson,20,CA,1547413200,72,55.74,-97.86,15.8,10.29
127,Budureasa,44,RO,1547413200,92,46.68,22.5,33.8,19.46
128,Shenjiamen,92,CN,1547415242,96,29.96,122.3,49.69,9.66
129,Nemuro,8,JP,1547415243,100,43.32,145.57,26.52,11.79
130,Conceicao do Araguaia,20,BR,1547414979,100,-8.26,-49.26,80.52,2.62
131,Hilo,90,US,1547412780,62,19.71,-155.08,77.0,6.93
132,Cabedelo,20,BR,1547413200,78,-6.97,-34.84,80.6,12.75
133,Paso de los Toros,92,UY,1547415249,100,-32.81,-56.52,69.72,4.97
134,Moose Factory,90,CA,1547413200,66,51.26,-80.61,15.8,16.11
135,Batemans Bay,80,AU,1547415252,100,-35.71,150.18,67.51,2.17
136,Coquimbo,20,CL,1547413200,56,-29.95,-71.34,69.8,13.87
137,Port Elizabeth,90,US,1547413260,81,39.31,-74.98,32.0,14.99
138,Jiayuguan,48,CN,1547415255,73,39.77,98.29,-7.69,2.73
139,Troitsko-Pechorsk,80,RU,1547415257,79,62.71,56.19,15.22,7.65
140,Yulara,0,AU,1547413200,20,-25.24,130.99,84.2,6.93
141,Mandera,0,ET,1547415260,30,3.94,41.86,69.49,3.96
142,Rawson,0,AR,1547415262,24,-43.3,-65.11,81.46,11.01
143,Bagdarin,20,RU,1547415263,32,54.44,113.59,-11.06,8.66
144,Bambous Virieux,40,MU,1547413200,74,-20.34,57.76,78.8,11.41
145,Puerto Baquerizo Moreno,90,EC,1547413200,88,-0.9,-89.6,77.0,10.29
146,Hamilton,75,BM,1547412900,68,32.3,-64.78,64.4,6.93
147,Sola,40,NO,1547412600,51,58.89,5.65,37.4,32.21
148,Hithadhoo,92,MV,1547415272,100,-0.6,73.08,82.36,6.76
149,Kerema,8,PG,1547415273,91,-7.96,145.78,72.46,2.17
150,Georgetown,20,GY,1547413200,62,6.8,-58.16,84.2,16.11
151,Alice Springs,8,AU,1547413200,31,-23.7,133.88,77.0,3.36
152,Manga,0,BF,1547415283,29,11.67,-1.07,73.14,7.43
153,Samoded,44,RU,1547415284,79,63.61,40.52,21.75,6.42
154,Zomin,44,UZ,1547415286,46,39.96,68.4,33.49,11.79
155,Longyearbyen,20,NO,1547412600,61,78.22,15.63,14.0,21.92
156,Bethel,90,US,1547412960,91,60.79,-161.76,30.92,13.87
157,Novogurovskiy,80,RU,1547413200,86,54.47,37.34,26.6,8.95
158,Upernavik,44,GL,1547415291,100,72.79,-56.15,-11.42,7.43
159,Lianzhou,92,CN,1547415292,98,24.79,112.38,43.93,2.62
160,Praia da Vitoria,75,PT,1547413200,82,38.73,-27.07,60.8,17.27
161,Ziarat,0,PK,1547415294,57,30.38,67.73,8.34,2.17
162,Hay River,75,CA,1547413200,68,60.82,-115.79,-16.61,3.74
163,Mizdah,0,LY,1547415297,81,31.45,12.98,40.2,11.01
164,Yerbogachen,24,RU,1547415298,68,61.28,108.01,-23.44,7.99
165,Ust-Maya,32,RU,1547415300,0,60.42,134.54,-45.04,2.62
166,Broken Hill,8,AU,1547413200,22,-31.97,141.45,78.8,9.17
167,Anadyr,20,RU,1547411400,67,64.73,177.51,-22.01,11.18
168,Norman Wells,75,CA,1547413200,68,65.28,-126.83,-14.81,12.75
169,Portland,20,US,1547412780,45,45.52,-122.67,53.96,19.46
170,Pevek,0,RU,1547415308,99,69.7,170.27,-29.96,3.4
171,Shubarshi,88,KZ,1547415309,91,48.59,57.19,26.47,3.29
172,Sept-Iles,20,CA,1547413200,60,50.2,-66.38,8.6,5.82
173,Nome,1,US,1547414100,45,30.04,-94.42,59.0,12.75
174,Pilar,40,AR,1547413200,73,-34.46,-58.91,78.8,10.29
175,Vao,92,EE,1547415315,98,59.1,26.19,27.01,8.77
176,Chebsara,68,RU,1547415318,85,59.2,38.84,19.95,7.76
177,Pisco,0,PE,1547413200,30,-13.71,-76.2,71.6,20.8
178,Ocos,75,GT,1547413200,48,14.51,-92.19,87.8,6.93
179,Masuguru,80,MZ,1547415321,92,-11.38,38.46,76.15,6.42
180,Varde,0,DK,1547412660,97,55.62,8.48,41.0,29.97
181,Baishishan,76,CN,1547415324,86,43.58,127.55,12.88,2.39
182,Dingle,48,PH,1547415325,84,11.0,122.67,75.07,14.25
183,Belle Glade,40,US,1547414100,65,26.68,-80.67,80.96,6.93
184,Kalakamati,56,BW,1547415329,88,-20.59,27.31,68.32,6.2
185,Oksfjord,75,NO,1547412600,92,70.24,22.35,28.4,1.12
186,Temerloh,8,MY,1547415331,96,3.45,102.42,72.15,1.95
187,Saint-Joseph,0,FR,1547413200,93,43.56,6.97,55.4,2.24
188,Mayo,90,CA,1547413200,76,63.59,-135.9,-4.01,2.24
189,Loa Janan,92,ID,1547415337,100,-0.58,117.09,72.69,0.94
190,Greenville,90,US,1547414100,96,34.85,-82.4,42.08,5.75
191,Osypenko,90,UA,1547413200,79,48.04,34.39,28.4,8.95
192,Kudahuvadhoo,64,MV,1547415341,100,2.67,72.89,80.52,13.13
193,Rome,20,IT,1547414400,86,41.89,12.48,41.0,5.82
194,Lamar,90,US,1547412780,88,38.09,-102.62,33.08,8.05
195,Chokurdakh,24,RU,1547415345,42,70.62,147.9,-26.81,1.72
196,Maceio,40,BR,1547413200,78,-9.67,-35.74,78.8,13.87
197,Pundaguitan,76,PH,1547415349,100,6.37,126.17,79.48,11.56
198,Fortuna,0,ES,1547413200,87,38.18,-1.13,44.6,4.7
199,Calama,75,CL,1547413200,46,-22.46,-68.93,71.6,20.8
200,Doha,0,QA,1547413200,82,25.29,51.53,66.2,5.82
201,Aykhal,0,RU,1547415354,0,65.95,111.51,-49.49,2.73
202,Togur,76,RU,1547415355,78,58.36,82.83,11.4,13.13
203,Kulhudhuffushi,0,MV,1547415356,100,6.62,73.07,82.09,7.99
204,Saint-Leu,0,RE,1547413200,65,-21.15,55.28,78.8,4.7
205,Oktyabrskiy,75,RU,1547413200,86,55.61,37.97,26.6,6.71
206,Torbay,90,CA,1547413200,73,47.66,-52.73,26.6,19.46
207,Rafaela,64,AR,1547415363,100,-31.25,-61.49,77.23,4.18
208,Lazaro Cardenas,5,MX,1547412000,34,28.39,-105.62,64.4,8.05
209,Shetpe,80,KZ,1547415367,90,44.14,52.16,32.59,4.18
210,Kapit,92,MY,1547415368,98,2.02,112.94,69.9,2.28
211,Kilinochchi,80,LK,1547415369,97,9.4,80.4,78.49,14.36
212,Kahului,40,US,1547412960,54,20.89,-156.47,80.96,6.93
213,Ribeira Grande,75,PT,1547413200,72,38.52,-28.7,60.8,9.17
214,Buckeye,1,US,1547414100,58,33.37,-112.58,60.08,4.7
215,Kupang,20,ID,1547413200,94,-10.16,123.6,73.4,1.12
216,San Pedro,80,AR,1547415376,91,-33.68,-59.66,74.62,6.76
217,Gat,12,SN,1547413200,32,14.69,-16.54,84.2,2.24
218,Carmen,24,PH,1547415379,94,7.2,124.8,69.13,2.95
219,Bria,20,CF,1547415380,73,6.54,21.99,73.63,2.84
220,Nevel,80,RU,1547415382,95,56.02,29.92,30.43,14.47
221,Saskylakh,0,RU,1547415383,0,71.97,114.09,-57.68,7.2
222,Hovd,90,NO,1547412600,92,63.83,10.7,32.0,33.33
223,Tiksi,0,RU,1547415385,0,71.64,128.87,-38.11,2.17
224,Ponta do Sol,20,BR,1547415387,70,-20.63,-46.0,81.64,2.62
225,Gizo,75,IL,1547414400,58,31.8,34.94,59.0,12.75
226,La Asuncion,80,EC,1547415389,94,-1.64,-78.74,51.76,1.61
227,Oum Hadjer,8,TD,1547415391,22,13.3,19.7,75.52,12.57
228,Opuwo,8,NA,1547415392,30,-18.06,13.84,64.99,4.74
229,Berdigestyakh,44,RU,1547415393,40,62.1,126.7,-26.32,2.73
230,Christchurch,92,NZ,1547413200,93,-43.53,172.64,51.8,11.41
231,Kavieng,48,PG,1547415396,100,-2.57,150.8,83.44,12.24
232,Kidal,0,ML,1547415398,26,18.44,1.41,57.39,9.78
233,Albert Lea,0,US,1547414160,55,43.65,-93.37,35.6,4.7
234,Tay Ninh,0,VN,1547415400,92,11.3,106.1,69.94,2.84
235,Mbandaka,56,CD,1547415402,98,0.05,18.26,73.59,2.39
236,Praia,40,BR,1547409600,48,-20.25,-43.81,86.0,9.17
237,Mount Gambier,0,AU,1547413200,93,-37.83,140.78,59.0,1.12
238,Klaksvik,20,FO,1547414400,74,62.23,-6.59,30.2,20.8
239,Blackwater,76,GB,1547414400,57,51.33,-0.78,51.8,11.41
240,San Carlos de Bariloche,0,AR,1547413200,11,-41.13,-71.31,77.0,10.29
241,Okhotsk,0,RU,1547415410,100,59.36,143.24,-11.74,8.66
242,Larsnes,75,NO,1547414400,74,62.2,5.58,30.2,23.04
243,San Cristobal,75,EC,1547413200,63,-0.39,-78.55,66.2,20.8
244,Minamata,20,JP,1547413200,100,32.18,130.48,37.4,8.05
245,Port Lincoln,0,AU,1547415417,96,-34.72,135.86,65.53,10.0
246,Chapais,90,CA,1547413980,77,49.78,-74.86,-0.41,4.7
247,Pitimbu,20,BR,1547413200,78,-7.47,-34.81,80.6,12.75
248,Tonaya,48,MX,1547415421,84,19.79,-103.97,64.63,0.6
249,Mahebourg,40,MU,1547413200,74,-20.41,57.7,78.8,11.41
250,Taltal,0,CL,1547415423,59,-25.41,-70.49,69.58,4.41
251,Makakilo City,90,US,1547413020,60,21.35,-158.09,80.96,8.05
252,Zaozerne,92,UA,1547415426,97,51.37,23.94,34.57,18.05
253,Lagoa,0,PT,1547413200,76,37.14,-8.45,48.2,5.82
254,Riyadh,8,SA,1547413200,19,24.63,46.72,66.2,11.41
255,Geraldton,90,CA,1547413200,79,49.72,-86.95,26.6,11.41
256,Moranbah,0,AU,1547415432,82,-22.0,148.04,70.44,11.56
257,Jeremie,48,HT,1547415434,100,18.65,-74.12,75.3,1.39
258,Sterling,90,US,1547414580,100,39.0,-77.4,32.0,9.17
259,Lorengau,88,PG,1547415436,96,-2.02,147.27,84.16,16.04
260,Tasiilaq,80,GL,1547412600,92,65.61,-37.64,17.6,14.7
261,Kieta,48,PG,1547415442,100,-6.22,155.63,79.12,3.96
262,Along,0,IN,1547415443,51,28.17,94.8,46.77,2.39
263,Westport,56,IE,1547415444,92,53.8,-9.52,46.72,16.82
264,Hobyo,80,SO,1547415446,85,5.35,48.53,74.98,15.26
265,Lubao,75,PH,1547413200,69,14.94,120.6,77.0,2.24
266,Kodiak,90,US,1547412900,81,39.95,-94.76,32.0,6.93
267,Prince Rupert,90,CA,1547413200,76,54.32,-130.32,50.0,12.75
268,Visselhovede,75,DE,1547414400,81,52.98,9.6,44.6,25.28
269,Ayan,92,TR,1547415452,97,40.67,33.6,30.34,2.62
270,Dunedin,0,NZ,1547415218,85,-45.87,170.5,53.34,14.58
271,Namibe,0,AO,1547415454,100,-15.19,12.15,72.87,9.89
272,Banfora,0,BF,1547415457,31,10.64,-4.75,74.71,7.87
273,Ostrovnoy,76,RU,1547415458,92,68.05,39.51,18.64,8.77
274,Sawtell,92,AU,1547413200,83,-30.38,153.1,71.6,3.36
275,Vila,0,IT,1547414400,74,45.18,8.4,48.2,4.7
276,Alugan,80,PH,1547415462,93,12.22,125.48,78.0,14.58
277,Gatesville,1,US,1547414100,61,31.44,-97.74,48.56,8.21
278,Bathsheba,40,BB,1547413200,65,13.22,-59.52,78.8,12.75
279,Bay City,1,US,1547414160,63,43.59,-83.89,31.1,11.41
280,Merauke,80,ID,1547415467,100,-8.49,140.4,76.69,6.76
281,Natchez,90,US,1547412960,75,31.56,-91.4,43.34,9.17
282,Avera,90,US,1547414100,90,33.19,-82.53,46.94,5.82
283,Cap Malheureux,40,MU,1547413200,74,-19.98,57.61,78.8,11.41
284,Wencheng,76,CN,1547415473,100,27.79,120.09,40.42,0.94
285,Shimoda,0,JP,1547415474,100,34.7,138.93,47.53,17.49
286,Malaya Vishera,80,RU,1547415475,92,58.85,32.22,26.92,8.21
287,Fuling,92,CN,1547415477,100,29.71,107.39,41.5,2.28
288,Krasnyy Kholm,88,RU,1547415478,93,58.06,37.11,24.04,11.45
289,Vila Franca do Campo,20,PT,1547413200,77,37.72,-25.43,59.0,9.17
290,Sitka,32,US,1547415480,88,37.17,-99.65,35.47,4.63
291,Bartica,20,GY,1547413200,62,6.41,-58.62,84.2,16.11
292,Olavarria,80,AR,1547415483,94,-36.89,-60.32,74.22,6.53
293,Murgab,75,TM,1547413200,48,37.5,61.97,44.6,11.41
294,Kumluca,68,TR,1547415485,93,36.37,30.29,23.32,1.5
295,Chuy,92,UY,1547415279,100,-33.69,-53.46,71.29,13.24
296,Mae Sai,0,MM,1547409600,100,20.44,99.89,64.4,2.24
297,Santa Isabel do Rio Negro,20,BR,1547415489,75,-0.41,-65.02,83.98,2.84
298,Sinnamary,100,GF,1547415490,95,5.38,-52.96,79.21,8.1
299,Itaituba,40,BR,1547409600,59,-4.26,-55.99,89.6,4.7
300,Ambovombe,100,MG,1547415493,99,-25.18,46.09,76.51,3.4
301,Inverness,92,GB,1547414400,93,57.48,-4.23,41.0,14.99
302,Ancud,0,CL,1547413200,52,-41.87,-73.83,64.4,8.05
303,Alyangula,36,AU,1547413200,100,-13.85,136.42,77.0,6.76
304,El Real de Santa Maria,0,PA,1547415499,66,8.11,-77.73,86.05,9.33
305,Leningradskiy,24,RU,1547415500,100,69.38,178.42,-17.32,8.43
306,Alekseyevka,0,RU,1547413200,92,53.25,50.49,10.4,4.47
307,Weinan,80,CN,1547413200,77,34.5,109.46,32.0,2.24
308,Saint-Pierre,90,FR,1547413200,100,48.95,4.24,50.0,18.34
309,Port Hedland,40,AU,1547414100,83,-20.31,118.58,82.4,18.34
310,Prince George,75,CA,1547413200,69,53.92,-122.75,37.4,6.93
311,Zverinogolovskoye,92,RU,1547415512,90,54.46,64.85,23.55,15.26
312,Asyut,0,EG,1547409600,62,27.18,31.19,51.8,18.34
313,Sabzevar,48,IR,1547415462,70,36.21,57.68,30.75,4.18
314,Kitimat,90,CA,1547414160,100,54.02,-128.69,33.8,2.24
315,Weymouth,40,US,1547413380,50,42.22,-70.94,26.96,9.17
316,Vuktyl,76,RU,1547415518,76,63.86,57.31,14.37,7.99
317,Luwuk,68,ID,1547415519,100,-0.95,122.79,76.33,2.62
318,Tabou,0,CI,1547415520,99,4.42,-7.36,83.08,7.87
319,Muzaffargarh,0,PK,1547415522,94,30.08,71.19,46.77,7.76
320,Sosnovo-Ozerskoye,0,RU,1547415523,63,52.53,111.54,-16.01,11.01
321,Bataipora,20,BR,1547415525,97,-22.3,-53.27,79.62,8.1
322,Bogo,8,CM,1547415527,32,10.74,14.61,70.17,9.44
323,Fairbanks,1,US,1547413080,76,64.84,-147.72,-11.75,2.95
324,Kiruna,75,SE,1547414400,92,67.86,20.23,6.8,2.62
325,Korsor,32,DK,1547414400,80,55.33,11.14,41.0,20.8
326,Husavik,88,CA,1547415532,97,50.56,-96.99,18.6,4.63
327,Hambantota,80,LK,1547415533,100,6.12,81.12,78.76,16.26
328,San Quintin,8,PH,1547415534,81,17.54,120.52,61.84,3.4
329,Achinsk,12,RU,1547415536,67,56.27,90.5,-4.72,10.78
330,Voh,32,NC,1547415537,100,-20.95,164.69,77.5,19.06
331,Viedma,36,AR,1547415538,36,-40.81,-62.99,76.02,15.59
332,Aloleng,0,PH,1547415539,100,16.13,119.78,74.8,7.65
333,Marktoberdorf,75,DE,1547414400,93,47.78,10.62,39.2,28.86
334,Nanpiao,0,CN,1547415542,63,41.1,120.75,6.67,2.73
335,Bairnsdale,0,AU,1547415545,84,-37.83,147.63,69.54,3.18
336,Matara,76,PE,1547415510,64,-13.74,-72.9,56.04,2.28
337,Livramento,75,BR,1547413200,69,-3.03,-60.18,82.4,2.24
338,Lavrentiya,68,RU,1547415549,100,65.58,-170.99,-4.22,30.8
339,Auki,0,NG,1547415550,27,12.18,6.51,68.86,8.99
340,Godo,20,JP,1547413200,69,35.42,136.61,39.2,11.41
341,Jalu,32,LY,1547415552,74,29.03,21.55,48.12,6.2
342,Atar,12,MR,1547415554,13,20.52,-13.05,66.39,8.32
343,Saint-Paul,90,FR,1547413200,100,45.22,1.9,42.8,6.93
344,Liwale,56,TZ,1547415556,86,-9.8,37.92,73.9,5.19
345,Buala,64,SB,1547415558,87,-8.15,159.59,82.99,8.88
346,Livadiya,80,RU,1547415559,100,42.87,132.68,34.35,1.5
347,La Libertad,75,PE,1547413200,59,-16.38,-71.56,62.6,10.29
348,Harindanga,0,IN,1547413200,82,22.04,88.32,59.0,2.73
349,Simao,0,CN,1547415564,85,22.76,100.79,44.07,2.06
350,Batagay-Alyta,0,RU,1547415565,0,67.8,130.41,-48.86,2.62
351,Sann,0,PK,1547413200,76,26.04,68.14,50.0,4.7
352,Uhlove,80,UA,1547415569,100,44.82,33.6,33.58,7.2
353,Calvinia,0,ZA,1547415570,71,-31.47,19.78,56.67,3.51
354,Florianopolis,40,BR,1547413200,78,-27.6,-48.55,82.4,8.05
355,Ulaanbaatar,0,MN,1547413200,75,47.92,106.92,-13.01,4.47
356,Kabare,48,RW,1547415574,91,-1.65,29.38,60.0,4.74
357,Yabelo,0,ET,1547415575,29,4.89,38.09,63.42,7.2
358,Maraba,20,BR,1547413200,66,-5.35,-49.1,87.8,3.36
359,Port Moresby,40,PG,1547413200,88,-9.47,147.16,78.8,6.93
360,Lucea,20,JM,1547413200,74,18.44,-78.17,82.4,13.87
361,Alekseyevsk,32,RU,1547415580,55,57.84,108.35,-11.42,5.75
362,Maloy,48,ID,1547415581,88,1.0,118.1,76.15,1.83
363,Vila do Maio,40,CV,1547413200,68,15.13,-23.22,71.6,8.05
364,Cartagena del Chaira,48,CO,1547415584,82,1.33,-74.84,79.89,2.95
365,Tabuk,80,PH,1547415586,99,17.41,121.44,61.62,0.72
366,Licata,75,IT,1547412600,93,37.11,13.95,44.6,2.24
367,Hami,36,CN,1547415566,63,42.84,93.51,8.11,7.99
368,Inhambane,8,MZ,1547415497,97,-23.87,35.38,80.74,8.43
369,Bure,20,NG,1547415591,23,10.52,10.33,71.92,10.45
370,Itapaci,8,BR,1547415592,60,-14.95,-49.55,84.84,4.18
371,Coihaique,0,CL,1547413200,26,-45.58,-72.07,78.8,5.82
